"YEAR","MONTH","JURISDICTION","POSITIVE_RESULTS","FINES","ARRESTS","CHARGES","TESTS_CONDUCTED"
2023,"01","ACT",21,0,4,21,98
2023,"01","NSW",1974,618,0,1356,8713
2023,"01","QLD",11853,0,27,11853,57099
2023,"01","TAS",146,0,0,0,345
2023,"01","VIC",856,0,0,0,11682
2023,"01","WA",1783,0,1,549,5664
2023,"02","ACT",18,0,9,18,26
2023,"02","NSW",2418,849,0,1569,9184
2023,"02","TAS",153,0,0,0,309
2023,"02","VIC",715,0,0,0,10515
2023,"02","WA",1530,0,0,482,4521
2023,"03","ACT",20,0,1,20,76
2023,"03","NSW",3681,1287,0,2394,9060
2023,"03","TAS",184,0,0,0,323
2023,"03","VIC",772,0,0,0,13887
2023,"03","WA",1372,0,4,448,4665
2023,"04","ACT",26,0,6,26,133
2023,"04","NSW",2607,777,0,1830,8478
2023,"04","TAS",152,0,0,0,346
2023,"04","VIC",726,0,0,0,13093
2023,"04","WA",1359,0,1,430,3784
2023,"05","ACT",13,0,4,13,79
2023,"05","NSW",6126,1959,0,4167,12582
2023,"05","TAS",230,0,0,0,458
2023,"05","VIC",654,0,0,0,12265
2023,"05","WA",1291,0,0,397,2944
2023,"06","ACT",13,0,2,13,102
2023,"06","NSW",4404,1290,0,3114,16007
2023,"06","TAS",222,0,0,0,313
2023,"06","VIC",660,0,0,0,11706
2023,"06","WA",1022,0,1,313,1379
2023,"07","ACT",14,0,3,14,68
2023,"07","NSW",3948,1413,0,2535,9301
2023,"07","TAS",183,0,0,0,442
2023,"07","VIC",732,0,0,0,12337
2023,"07","WA",1205,0,3,396,1579
2023,"08","ACT",12,0,3,12,134
2023,"08","NSW",2337,750,0,1587,11708
2023,"08","TAS",216,0,0,0,452
2023,"08","VIC",752,0,0,0,12979
2023,"08","WA",1598,0,0,473,3783
2023,"09","ACT",17,0,5,17,37
2023,"09","NSW",3078,960,0,2118,14306
2023,"09","TAS",186,0,0,0,463
2023,"09","VIC",726,0,0,0,11924
2023,"09","WA",1486,0,2,445,3540
2023,"10","ACT",13,0,2,13,55
2023,"10","NSW",2460,732,0,1728,14578
2023,"10","TAS",169,0,0,0,459
2023,"10","VIC",627,0,0,0,11736
