"YEAR","MONTH","JURISDICTION","DETECTION_METHOD","FINES","ARRESTS","CHARGES","POSITIVE_RESULTS","TESTS_CONDUCTED"
2023,"01","ACT","Laboratory or Toxicology (Stage 3)",0,0,1,4,4002
2023,"01","ACT","Laboratory or Toxicology (Stage 3)",0,0,2,6,4002
2023,"01","ACT","Laboratory or Toxicology (Stage 3)",0,1,1,2,4002
2023,"01","ACT","Laboratory or Toxicology (Stage 3)",0,1,3,3,4002
2023,"01","ACT","Laboratory or Toxicology (Stage 3)",0,1,6,6,4002
2023,"01","NSW","Indicator (Stage 1)",0,0,1,12,384428
2023,"01","NSW","Indicator (Stage 1)",0,0,2,8,384428
2023,"01","NSW","Indicator (Stage 1)",0,0,3,6,384428
2023,"01","NSW","Indicator (Stage 1)",0,0,10,20,384428
2023,"01","NSW","Indicator (Stage 1)",1,0,0,8,384428
2023,"01","NSW","Indicator (Stage 1)",1,0,1,4,384428
2023,"01","NSW","Indicator (Stage 1)",1,0,2,3,384428
2023,"01","NSW","Indicator (Stage 1)",1,0,3,8,384428
2023,"01","NSW","Indicator (Stage 1)",1,0,4,5,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,0,6,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,1,3,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,2,4,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,3,5,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,5,14,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,6,8,384428
2023,"01","NSW","Indicator (Stage 1)",2,0,9,11,384428
2023,"01","NSW","Indicator (Stage 1)",3,0,1,4,384428
2023,"01","NSW","Indicator (Stage 1)",3,0,4,14,384428
2023,"01","NSW","Indicator (Stage 1)",3,0,10,13,384428
2023,"01","NSW","Indicator (Stage 1)",4,0,7,11,384428
2023,"01","NSW","Indicator (Stage 1)",5,0,2,7,384428
2023,"01","NSW","Indicator (Stage 1)",6,0,4,10,384428
2023,"01","NSW","Indicator (Stage 1)",6,0,6,12,384428
2023,"01","NSW","Indicator (Stage 1)",8,0,19,27,384428
2023,"01","NSW","Indicator (Stage 1)",9,0,32,41,384428
2023,"01","NSW","Indicator (Stage 1)",9,0,57,66,384428
2023,"01","NSW","Indicator (Stage 1)",10,0,19,29,384428
2023,"01","NSW","Indicator (Stage 1)",12,0,8,20,384428
2023,"01","NSW","Indicator (Stage 1)",14,0,25,39,384428
2023,"01","NSW","Indicator (Stage 1)",14,0,64,78,384428
2023,"01","NSW","Indicator (Stage 1)",18,0,48,66,384428
2023,"01","NSW","Indicator (Stage 1)",19,0,27,46,384428
2023,"01","NSW","Indicator (Stage 1)",26,0,24,50,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",0,0,1,26,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",0,0,2,8,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",0,0,3,3,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",0,0,4,4,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",0,0,10,10,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,0,13,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,1,6,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,2,12,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,3,4,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,4,5,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,8,9,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",1,0,22,23,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,0,4,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,1,6,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,2,4,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,3,5,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,4,6,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,5,7,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,8,10,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",2,0,14,16,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",3,0,1,4,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",3,0,2,5,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",3,0,3,6,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",3,0,4,7,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",4,0,3,7,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",4,0,5,9,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",5,0,16,21,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",7,0,16,23,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",8,0,18,26,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",8,0,20,28,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",9,0,49,58,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",10,0,17,27,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",10,0,50,60,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",12,0,6,18,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",13,0,17,30,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",18,0,22,40,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",18,0,45,63,384428
2023,"01","NSW","Laboratory or Toxicology (Stage 3)",24,0,21,45,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",0,0,1,15,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",0,0,2,6,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",0,0,3,12,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,0,5,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,1,2,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,2,3,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,3,8,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,5,6,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,9,10,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,11,12,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",1,0,15,16,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,0,6,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,1,3,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,2,8,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,4,6,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,5,14,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,6,8,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,8,10,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",2,0,10,12,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",3,0,2,5,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",3,0,3,6,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",3,0,14,17,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",4,0,3,14,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",4,0,6,10,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",4,0,15,19,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",5,0,2,7,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",5,0,9,14,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",7,0,15,22,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",8,0,12,20,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",8,0,15,23,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",9,0,25,34,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",10,0,8,18,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",10,0,51,122,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",12,0,17,29,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",13,0,13,26,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",15,0,7,22,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",15,0,19,34,384428
2023,"01","NSW","Secondary Confirmatory (Stage 2)",17,0,37,54,384428
2023,"01","NT","Indicator (Stage 1)",10,0,0,10,8263
2023,"01","NT","Indicator (Stage 1)",17,0,0,17,8263
2023,"01","NT","Indicator (Stage 1)",21,0,0,21,8263
2023,"01","QLD","Indicator (Stage 1)",0,27,11853,11853,1910302
2023,"01","TAS","Indicator (Stage 1)",0,0,0,146,14091
2023,"01","VIC","Indicator (Stage 1)",0,0,0,856,267142
2023,"01","WA","Indicator (Stage 1)",0,0,0,603,185756
2023,"01","WA","Laboratory or Toxicology (Stage 3)",0,0,0,576,185756
2023,"01","WA","Not applicable",0,0,1,0,185756
2023,"01","WA","Not applicable",0,0,2,0,185756
2023,"01","WA","Not applicable",0,0,75,0,185756
2023,"01","WA","Not applicable",0,0,225,0,185756
2023,"01","WA","Not applicable",0,1,246,0,185756
2023,"01","WA","Secondary Confirmatory (Stage 2)",0,0,0,604,185756
2023,"02","ACT","Laboratory or Toxicology (Stage 3)",0,0,1,1,2289
