"YEAR","MONTH","JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2023,"01","ACT","Major Cities of Australia","17-25","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","ACT","Major Cities of Australia","17-25","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","ACT","Major Cities of Australia","26-39","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",6,0,1,6
2023,"01","ACT","Major Cities of Australia","26-39","Yes","Stage 3","0","0","0","0","0","1","0","Not applicable",1,0,1,1
2023,"01","ACT","Major Cities of Australia","26-39","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","ACT","Major Cities of Australia","26-39","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","ACT","Major Cities of Australia","40-64","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",3,0,1,3
2023,"01","ACT","Major Cities of Australia","40-64","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","ACT","Major Cities of Australia","40-64","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","ACT","Major Cities of Australia","40-64","Yes","Stage 3","1","0","0","0","0","1","0","Not applicable",1,0,1,1
2023,"01","ACT","Major Cities of Australia","40-64","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 1","0","0","1","0","0","0","0","Not applicable",4,1,0,3
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 1","0","1","0","0","0","0","0","Not applicable",27,8,0,19
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 1","0","1","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 1","1","0","0","0","0","0","0","Not applicable",10,6,0,4
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 1","1","0","1","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 1","1","1","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","0","0","0","0","0","0","0","Not applicable",7,4,0,3
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","0","0","1","0","0","0","0","Not applicable",3,1,0,2
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","0","1","0","0","0","0","0","Not applicable",19,4,0,15
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","0","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","1","0","0","0","0","0","0","Not applicable",7,5,0,2
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","1","0","1","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Inner Regional Australia","17-25","No","Stage 2","1","1","0","0","0","0","0","Not applicable",7,2,0,5
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","0","0","1","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","0","1","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",23,7,0,16
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","1","0","1","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","0","1","1","1","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",7,4,0,3
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",6,2,0,4
2023,"01","NSW","Inner Regional Australia","17-25","Yes","Stage 3","1","1","0","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","0","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","0","1","0","0","0","0","0","Not applicable",46,19,0,27
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","0","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","1","0","0","0","0","0","0","Not applicable",39,14,0,25
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","1","0","1","0","0","0","0","Not applicable",2,1,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","1","1","0","0","0","0","0","Not applicable",7,2,0,5
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 1","1","1","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","0","0","0","0","0","0","0","Not applicable",22,7,0,15
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","0","0","0","0","0","0","1","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","0","1","0","0","0","0","0","Not applicable",26,13,0,13
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","0","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","1","0","0","0","0","0","0","Not applicable",34,15,0,19
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","1","1","0","0","0","0","0","Not applicable",12,2,0,10
